Class,Name,10.0-9.9,9.9-9.8,9.8-9.7,9.7-9.6,9.6-9.5,9.5-9.4,9.4-9.3,9.3-9.2,9.2-9.1,9.1-9.0,9.0-8.9,8.9-8.8,8.8-8.7,8.7-8.6,8.6-8.5,8.5-8.4,8.4-8.3,8.3-8.2,8.2-8.1,8.1-8.0,8.0-7.9,7.9-7.8,7.8-7.7,7.7-7.6,7.6-7.5,7.5-7.4,7.4-7.3,7.3-7.2,7.2-7.1,7.1-7.0,7.0-6.9,6.9-6.8,6.8-6.7,6.7-6.6,6.6-6.5,6.5-6.4,6.4-6.3,6.3-6.2,6.2-6.1,6.1-6.0,6.0-5.9,5.9-5.8,5.8-5.7,5.7-5.6,5.6-5.5,5.5-5.4,5.4-5.3,5.3-5.2,5.2-5.1,5.1-5.0,5.0-4.9,4.9-4.8,4.8-4.7,4.7-4.6,4.6-4.5,4.5-4.4,4.4-4.3,4.3-4.2,4.2-4.1,4.1-4.0,4.0-3.9,3.9-3.8,3.8-3.7,3.7-3.6,3.6-3.5,3.5-3.4,3.4-3.3,3.3-3.2,3.2-3.1,3.1-3.0,3.0-2.9,2.9-2.8,2.8-2.7,2.7-2.6,2.6-2.5,2.5-2.4,2.4-2.3,2.3-2.2,2.2-2.1,2.1-2.0,2.0-1.9,1.9-1.8,1.8-1.7,1.7-1.6,1.6-1.5,1.5-1.4,1.4-1.3,1.3-1.2,1.2-1.1,1.1-1.0,1.0-0.9,0.9-0.8,0.8-0.7,0.7-0.6,0.6-0.5,0.5-0.4,0.4-0.3,0.3-0.2,0.2-0.1,0.1-0.0
Não,20A_98F_abe36_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,627503,611670,596047,580606,565584,550759,536158,521687,507641,493806,480352,467065,454037,441445,428798,416528,404737,392946,381116,369706,358495,347456,336681,326190,315941,306124,296390,286776,277092,267452,258003,248769,239568,230510,221741,213337,205130,197086,189121,181240,173401,165669,158167,150894,143715,136871,130204,123739,117752,111987,105932,99684,93201,86981,81188,75918,71147,66892,62871,59381,56574,53633,49297,45758,42560,39759,37388,35254,33307,31470,29814,28379,26744,24715,24053,20341,14406,11835,10697,10323,10260,10218,10137,10122,10112,5943,3933,1899,10,2,1,0,0,0,0,0,0,0,0,0
Não,20A_126A_0bf2a_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,624772,608880,593384,578069,562904,548267,533753,519352,505538,491811,478201,465157,452380,439689,427253,415074,403356,391669,379989,368574,357369,346452,335750,325396,315344,305567,295997,286202,276628,267165,257800,248558,239188,230163,221403,213095,205012,197037,189104,181240,173446,165681,158130,150945,143789,137012,130205,123825,117775,112117,106171,99927,93462,87284,81500,76119,71376,67061,63033,59579,56771,53715,49374,45782,42562,39817,37443,35304,33273,31479,29816,28369,26743,24681,24078,20296,14360,11838,10699,10322,10249,10200,10108,10090,10079,5932,3926,1905,20,9,4,3,2,2,1,0,0,0,0,0
Não,20A_439K_fa80a_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,634427,618460,602597,586956,571575,556635,541710,527149,512855,499106,485359,471913,458873,445911,433343,420812,408703,396667,384764,373182,361735,350630,339934,329313,319109,309154,299274,289499,279575,269886,260315,250923,241608,232481,223664,215119,206808,198595,190575,182561,174662,166802,159277,151950,144693,137691,130957,124337,118343,112469,106424,100095,93661,87414,81625,76280,71420,67145,63082,59635,56858,53896,49390,45905,42708,39909,37487,35368,33335,31497,29817,28305,26662,24635,24074,20324,14326,11819,10682,10315,10249,10221,10141,10123,10110,5950,3894,1888,15,5,3,3,3,1,1,0,0,0,0,0
Não,20AEU2_802f7_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,592733,578111,563773,549721,535730,521944,508334,494953,481695,469099,456479,444067,431935,420092,408603,397236,386245,375261,364339,353640,343080,332652,322721,313003,303572,294255,285169,276076,266910,257995,248939,240131,231268,222686,214445,206247,198353,190749,183138,175671,168135,160629,153290,146310,139431,132834,126243,120071,114508,108989,103232,96875,90750,84760,79158,73981,69387,65426,61653,58290,55588,52691,48317,44877,41847,39124,36839,34892,32949,31212,29548,28243,26588,24622,24061,20219,14110,11778,10655,10330,10257,10206,10132,10119,10111,5964,3907,1814,12,5,3,2,1,1,1,0,0,0,0,0
Não,20B_626S_22373_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,631459,615597,600146,584783,569672,554606,539951,525549,511355,497479,483818,470441,457346,444483,432049,419848,407776,395814,384017,372458,361135,349850,339099,328605,318471,308650,298937,289304,279680,269985,260436,251110,241751,232619,223924,215369,207125,199124,191117,183153,175209,167508,159830,152469,145283,138278,131405,124983,118961,113070,107000,100608,94157,87874,81960,76577,71662,67354,63274,59753,56881,53935,49527,46022,42776,39961,37479,35377,33427,31553,29826,28347,26704,24652,24053,20306,14328,11793,10683,10319,10260,10224,10147,10117,10110,5953,3893,1898,15,6,6,3,3,2,0,0,0,0,0,0
Não,20B_732A_4edcc_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,624949,609134,593625,578418,563421,548563,534262,519899,505911,492243,478491,465240,452371,439808,427417,415168,403359,391720,379985,368466,357267,346223,335424,325128,315036,305414,295919,286282,276697,267000,257544,248430,239120,230115,221441,213070,204937,196930,189070,181199,173382,165675,158215,150902,143850,136892,130308,123778,117847,112224,106220,99897,93494,87318,81556,76214,71379,67191,63210,59675,56845,53876,49468,45969,42818,39985,37592,35414,33438,31598,29899,28428,26826,24789,24142,20385,14365,11894,10765,10386,10309,10256,10169,10151,10135,5966,3918,1882,14,9,8,6,4,4,4,3,3,0,0,0
Não,20B_1122L_0f9a8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,646542,630036,613892,598020,582199,566527,551487,536519,521837,507652,493476,479670,466113,452898,440163,427349,414955,402732,390538,378584,366800,355550,344477,333740,323385,313103,303197,293118,283114,273292,263670,254102,244636,235328,226401,217673,209262,200977,192679,184644,176655,168723,161082,153608,146404,139299,132352,125708,119506,113660,107496,101194,94632,88338,82385,76965,72033,67648,63592,60062,57188,54082,49718,46121,42952,40181,37734,35558,33518,31638,29901,28418,26770,24728,24119,20296,14374,11846,10725,10346,10280,10248,10158,10129,10119,5962,3889,1893,27,10,5,5,3,2,2,2,1,1,1,0
Não,20C_80Y_4dfdb_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,630272,614329,598810,583512,568282,553498,538753,524383,510363,496565,483226,469805,456661,443930,431415,419126,407195,395425,383646,372060,360877,349752,338836,328255,318028,308173,298469,288931,279228,269629,260107,250766,241419,232279,223558,215099,206771,198623,190776,182921,175037,167314,159755,152466,145165,138245,131485,124974,118952,113112,107000,100612,94255,88016,82204,76764,71894,67549,63487,59959,57085,54038,49682,46178,42926,40092,37680,35485,33496,31655,29951,28449,26826,24747,24149,20330,14318,11839,10709,10357,10290,10245,10166,10142,10127,5956,3897,1921,21,10,5,3,3,3,3,2,2,2,0,0
Não,20E_EU1_086ad_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,631032,615107,599430,584090,568729,553860,539133,524694,510470,496728,483030,469718,456501,443770,431357,418959,406927,395016,383250,371670,360574,349329,338606,328116,317906,308065,298186,288554,278801,269140,259653,250414,241019,231886,223148,214570,206201,198156,190063,182141,174236,166420,158839,151513,144326,137310,130637,124090,118210,112338,106303,100083,93714,87494,81639,76241,71405,67191,63191,59663,56845,53821,49502,45981,42750,39945,37535,35357,33364,31557,29857,28359,26770,24768,24122,20329,14364,11869,10753,10353,10293,10252,10162,10142,10131,5962,3912,1924,26,13,10,6,4,4,3,1,0,0,0,0
Sim,20H_Beta_V2_91064_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,627578,611772,596397,581225,566226,551455,536854,522464,508409,494716,481313,468035,455069,442492,430017,417780,405838,394018,382441,370897,359623,348509,337787,327396,317283,307563,297863,288193,278641,268823,259449,250187,240861,231783,223116,214716,206434,198340,190362,182509,174664,166971,159426,152076,144879,138056,131297,124900,118822,112965,106943,100627,94230,87931,82141,76753,71785,67511,63351,59784,56932,53948,49583,46053,42797,40024,37553,35420,33432,31574,29847,28378,26747,24661,24073,20322,14330,11814,10684,10314,10239,10202,10113,10100,10088,5943,3916,1903,13,5,4,3,2,1,1,0,0,0,0,0
